"global_id","entity_id","content_type","content_title","content_topic","portal_name"
"331","331","article","Relax and Unwind Together","Activities & Recreation","wellwise"
"328","328","article","Creating a Stable Routine","Grandparents Supporting Grandchildren","wellwise"
"302","302","article","Movement, Fatigue & Pain","Stroke Recovery","wellwise"
"292","292","article","Reducing Social Isolation with Technology","Caregiver Wellness","wellwise"
"334","335","video","Good Morning Stretches",NULL,"wellwise"
"334","335","video","Good Morning Stretches","Activities & Recreation","wellwise"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","wellwise"
"710","336","article","Region 2 Area Agency on Aging",NULL,"wellwise"
"711","337","article","R2AAA's On-Line Workshop Schedule",NULL,"wellwise"
"711","337","article","R2AAA's On-Line Workshop Schedule","Michigan Resources","wellwise"
"214","214","article","Introduction to Aging and Dementia","Brain Health","wellwise"
"272","272","article","Managing Medications at Home","Personal Care","wellwise"
"286","286","audio","Alz Music - Vocal Standards","Music Therapy","wellwise"
"710","336","article","Region 2 Area Agency on Aging","Michigan Resources","wellwise"
"335","344","article","Brain Boost Exercises",NULL,"caac"
"335","338","article","Brain Boost Exercises",NULL,"wellwise"
"53","53","elearn","Moving & Transferring",NULL,"wellwise"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","wellwise"
"251","251","article","Helping with Daily Tasks around the Home",NULL,"wellwise"
"253","253","article","Oral Care for Older Adults","Personal Care","wellwise"
"187","187","article","Shaving","Personal Care","wellwise"
"131","131","article","Skin Care for Older Adults","Personal Care","wellwise"
"113","113","article","Denture Care Tips",NULL,"wellwise"
"192","192","article","Fall Prevention at Home",NULL,"wellwise"
"188","188","article","Choosing the Right Products when Assisting in the Bathroom","Personal Care","wellwise"
"197","197","article","Care Chat: Driving & Dementia","Dementia Expert","wellwise"
"273","273","article","Reducing Medication Risks","Safety & Injury Prevention","wellwise"
"257","257","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","wellwise"
"335","344","article","Brain Boost Exercises","Activities & Recreation","caac"
"310","310","article","Effective Self-Care","Caregiver Wellness","wellwise"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","coaaa"
"290","290","video","Finding Strength through Difficult Changes","Caregiver Wellness","coaaa"
"195","195","article","Transitioning from Hospital to Home",NULL,"coaaa"
"255","255","article","Aging and Nutrition",NULL,"coaaa"
"254","254","article","Managing Pain in Older Adults",NULL,"coaaa"
"246","246","article","Eating and Appetite Concerns",NULL,"coaaa"
"247","247","audio","Big Band Medley","Music Therapy","coaaa"
"197","197","article","Care Chat: Driving & Dementia","Dementia Expert","coaaa"
"196","196","article","Safety Tips When Caring",NULL,"coaaa"
"327","327","article","Outdoor Activities to Enjoy Together","Activities & Recreation","coaaa"
"321","321","article","Home Safety: Dementia and Injury Prevention",NULL,"coaaa"
"320","320","article","Home Safety: Fall Hazards","Safety & Injury Prevention","coaaa"
"318","318","article","Hallucinations and Brain Changes","Brain Health","coaaa"
"214","214","article","Introduction to Aging and Dementia","Brain Health","coaaa"
"249","249","article","Asking the Right Questions",NULL,"coaaa"
"248","248","article","Temporary Relief for the Family Caregiver",NULL,"coaaa"
"131","131","article","Skin Care for Older Adults","Personal Care","coaaa"
"256","256","article","Sleep and Dementia",NULL,"coaaa"
"252","252","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","coaaa"
"253","253","article","Oral Care for Older Adults","Personal Care","coaaa"
"310","310","article","Effective Self-Care","Caregiver Wellness","coaaa"
"307","307","article","Eating and Swallowing","Stroke Recovery","coaaa"
"187","187","article","Shaving","Personal Care","coaaa"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","coaaa"
"237","237","article","Hospice and Palliative Care: What’s the difference?",NULL,"coaaa"
"53","53","elearn","Moving & Transferring",NULL,"coaaa"
"54","54","elearn","Moving Techniques",NULL,"coaaa"
"192","192","article","Fall Prevention at Home",NULL,"coaaa"
"113","113","article","Denture Care Tips",NULL,"coaaa"
"306","306","article","Cognition","Stroke Recovery","coaaa"
"334","334","video","Good Morning Stretches","Activities & Recreation","coaaa"
"333","333","article","Sibling Conflict and Caregiving Roles",NULL,"coaaa"
"332","332","article","Latest Research on Exercise and Brain Health",NULL,"coaaa"
"286","286","audio","Alz Music - Vocal Standards","Music Therapy","coaaa"
"599","335","elearn","COAAA Caregiver Toolbox",NULL,"coaaa"
"601","338","elearn","Central Ohio Private Homecare Guide",NULL,"coaaa"
"257","257","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","coaaa"
"335","339","article","Brain Boost Exercises","Activities & Recreation","coaaa"
"326","326","article","Caregiving Anger and Frustration","Caregiver Wellness","coaaa"
"211","211","article","Showering","Personal Care","wellwise"
"316","316","video","Keeping Hands and Minds Busy: Baskets and Other Rummaging Inspiration","Activities & Recreation","coaaa"
"308","308","article","Sensory Stimulation: Using the 5 Senses to Create Meaningful Moments","Activities & Recreation","coaaa"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","coaaa"
"329","329","article","Trauma-Informed Care","Grandparents Supporting Grandchildren","coaaa"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","eaccares"
"53","53","elearn","Moving & Transferring",NULL,"eaccares"
"54","54","elearn","Moving Techniques",NULL,"eaccares"
"72","72","elearn","Power of Attorney (US)",NULL,"eaccares"
"95","95","video","Teepa Snow: PAC Skills Make the Difference","Dementia Expert","eaccares"
"287","101","audio","Alz Music - Country",NULL,"eaccares"
"286","105","audio","Alz Music - Vocal Standards",NULL,"eaccares"
"113","113","article","Denture Care Tips",NULL,"eaccares"
"187","187","article","Shaving","Personal Care","eaccares"
"188","188","article","Choosing the Right Products when Assisting in the Bathroom","Personal Care","eaccares"
"192","192","article","Fall Prevention at Home",NULL,"eaccares"
"196","196","article","Safety Tips When Caring",NULL,"eaccares"
"197","197","article","Care Chat: Driving & Dementia","Dementia Expert","eaccares"
"402","210","elearn","Caregiver Wellness Survey","Caregiver Wellness","eaccares"
"211","211","article","Showering","Personal Care","eaccares"
"765","216","article","Care Coordination",NULL,"eaccares"
"766","217","article","Medication Screening",NULL,"eaccares"
"257","234","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","eaccares"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","eaccares"
"237","238","article","Hospice and Palliative Care: What’s the difference?",NULL,"eaccares"
"252","240","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","eaccares"
"243","242","article","Delirium, Depression, and Apathy","Brain Health","eaccares"
"131","248","article","Skin Care for Older Adults","Personal Care","eaccares"
"247","250","audio","Big Band Medley",NULL,"eaccares"
"248","251","article","Temporary Relief for the Family Caregiver",NULL,"eaccares"
"249","252","article","Asking the Right Questions",NULL,"eaccares"
"251","253","article","Helping with Daily Tasks around the Home",NULL,"eaccares"
"264","256","article","Financial Safety",NULL,"eaccares"
"255","258","article","Aging and Nutrition",NULL,"eaccares"
"272","259","article","Managing Medications at Home","Personal Care","eaccares"
"273","260","article","Reducing Medication Risks","Safety & Injury Prevention","eaccares"
"283","261","video","Kitchen Safety with Mid-stage Dementia","Dementia Expert","eaccares"
"284","262","article","Communication and Dementia","Brain Health","eaccares"
"282","265","article","Caregiver Guilt","Caregiver Wellness","eaccares"
"289","267","article","Preventing Colds, Flus, and Respiratory Infections",NULL,"eaccares"
"291","269","article","Energy Conservation","Caregiver Wellness","eaccares"
"293","271","article","Build Relationships with Reminiscence","Brain Health","eaccares"
"294","272","article","The Art of Caregiving","Dementia Expert","eaccares"
"316","282","video","Keeping Hands and Minds Busy: Baskets and Other Rummaging Inspiration","Activities & Recreation","eaccares"
"312","284","article","Hoarding and Hiding",NULL,"eaccares"
"272","272","article","Managing Medications at Home","Personal Care","coaaa"
"299","299","article","Bathroom Safety","Safety & Injury Prevention","coaaa"
"214","214","article","Introduction to Aging and Dementia","Brain Health","smpdd"
"287","287","audio","Alz Music - Country","Music Therapy","smpdd"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","smpdd"
"326","315","article","Caregiving Anger and Frustration","Caregiver Wellness","smpdd"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","smpdd"
"246","246","article","Eating and Appetite Concerns",NULL,"smpdd"
"286","286","audio","Alz Music - Vocal Standards","Music Therapy","smpdd"
"256","256","article","Sleep and Dementia",NULL,"smpdd"
"244","244","article","Dementia and Assisting with Dressing",NULL,"smpdd"
"237","237","article","Hospice and Palliative Care: What’s the difference?",NULL,"smpdd"
"195","195","article","Transitioning from Hospital to Home",NULL,"smpdd"
"331","316","article","Relax and Unwind Together","Activities & Recreation","smpdd"
"327","314","article","Outdoor Activities to Enjoy Together","Activities & Recreation","smpdd"
"248","248","article","Temporary Relief for the Family Caregiver",NULL,"smpdd"
"310","310","article","Effective Self-Care","Caregiver Wellness","smpdd"
"308","308","article","Sensory Stimulation: Using the 5 Senses to Create Meaningful Moments","Activities & Recreation","smpdd"
"284","284","article","Communication and Dementia","Brain Health","smpdd"
"285","285","article","Sexuality and Dementia","Brain Health","smpdd"
"293","293","article","Build Relationships with Reminiscence","Brain Health","smpdd"
"192","192","article","Fall Prevention at Home",NULL,"smpdd"
"187","187","article","Shaving","Personal Care","smpdd"
"253","253","article","Oral Care for Older Adults","Personal Care","smpdd"
"211","211","article","Showering","Personal Care","smpdd"
"131","131","article","Skin Care for Older Adults","Personal Care","smpdd"
"272","272","article","Managing Medications at Home","Personal Care","smpdd"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","smpdd"
"257","257","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","smpdd"
"288","288","article","Elder Abuse","Safety & Injury Prevention","smpdd"
"273","273","article","Reducing Medication Risks","Safety & Injury Prevention","smpdd"
"299","299","article","Bathroom Safety","Safety & Injury Prevention","smpdd"
"252","252","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","smpdd"
"334","325","video","Good Morning Stretches","Activities & Recreation","smpdd"
"335","326","article","Brain Boost Exercises","Activities & Recreation","smpdd"
"316","322","video","Keeping Hands and Minds Busy: Baskets and Other Rummaging Inspiration","Activities & Recreation","smpdd"
"329","317","article","Trauma-Informed Care","Grandparents Supporting Grandchildren","smpdd"
"328","318","article","Creating a Stable Routine","Grandparents Supporting Grandchildren","smpdd"
"330","319","article","Screen Time","Grandparents Supporting Grandchildren","smpdd"
"306","306","article","Cognition","Stroke Recovery","smpdd"
"290","290","video","Finding Strength through Difficult Changes","Caregiver Wellness","smpdd"
"244","244","article","Dementia and Assisting with Dressing",NULL,"sarpc"
"256","256","article","Sleep and Dementia",NULL,"sarpc"
"282","282","article","Caregiver Guilt","Caregiver Wellness","sarpc"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","sarpc"
"286","286","audio","Alz Music - Vocal Standards","Music Therapy","sarpc"
"292","292","article","Reducing Social Isolation with Technology","Caregiver Wellness","sarpc"
"326","326","article","Caregiving Anger and Frustration","Caregiver Wellness","sarpc"
"248","248","article","Temporary Relief for the Family Caregiver",NULL,"sarpc"
"214","214","article","Introduction to Aging and Dementia","Brain Health","sarpc"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","sarpc"
"329","329","article","Trauma-Informed Care","Grandparents Supporting Grandchildren","sarpc"
"328","330","article","Creating a Stable Routine","Grandparents Supporting Grandchildren","sarpc"
"284","284","article","Communication and Dementia","Brain Health","sarpc"
"290","290","video","Finding Strength through Difficult Changes","Caregiver Wellness","sarpc"
"197","197","article","Care Chat: Driving & Dementia","Dementia Expert","sarpc"
"287","287","audio","Alz Music - Country","Music Therapy","sarpc"
"247","247","audio","Big Band Medley","Music Therapy","sarpc"
"211","211","article","Showering","Personal Care","sarpc"
"272","272","article","Managing Medications at Home","Personal Care","sarpc"
"322","321","article","Reframing Negative Thoughts","Caregiver Wellness","sarpc"
"310","310","article","Effective Self-Care","Caregiver Wellness","sarpc"
"285","285","article","Sexuality and Dementia","Brain Health","sarpc"
"293","293","article","Build Relationships with Reminiscence","Brain Health","sarpc"
"318","313","article","Hallucinations and Brain Changes","Brain Health","sarpc"
"291","291","article","Energy Conservation","Caregiver Wellness","sarpc"
"331","327","article","Relax and Unwind Together","Activities & Recreation","sarpc"
"335","334","article","Brain Boost Exercises","Activities & Recreation","sarpc"
"316","316","video","Keeping Hands and Minds Busy: Baskets and Other Rummaging Inspiration","Activities & Recreation","sarpc"
"72","72","elearn","Power of Attorney (US)",NULL,"newyork"
"292","292","article","Reducing Social Isolation with Technology","Caregiver Wellness","newyork"
"54","54","elearn","Moving Techniques",NULL,"newyork"
"214","214","article","Introduction to Aging and Dementia","Brain Health","newyork"
"131","131","article","Skin Care for Older Adults","Personal Care","newyork"
"211","211","article","Showering","Personal Care","newyork"
"113","113","article","Denture Care Tips",NULL,"newyork"
"331","327","article","Relax and Unwind Together","Activities & Recreation","newyork"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","newyork"
"284","284","article","Communication and Dementia","Brain Health","newyork"
"335","334","article","Brain Boost Exercises","Activities & Recreation","newyork"
"285","285","article","Sexuality and Dementia","Brain Health","newyork"
"293","293","article","Build Relationships with Reminiscence","Brain Health","newyork"
"318","317","article","Hallucinations and Brain Changes","Brain Health","newyork"
"286","286","audio","Alz Music - Vocal Standards","Music Therapy","newyork"
"257","257","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","newyork"
"317","316","article","Living with a Purpose: Involving Your Loved One with Daily Tasks","Activities & Recreation","newyork"
"288","288","article","Elder Abuse","Safety & Injury Prevention","newyork"
"287","287","audio","Alz Music - Country","Music Therapy","newyork"
"284","284","article","Communication and Dementia","Brain Health","wellwise"
"285","285","article","Sexuality and Dementia","Brain Health","wellwise"
"293","293","article","Build Relationships with Reminiscence","Brain Health","wellwise"
"318","318","article","Hallucinations and Brain Changes","Brain Health","wellwise"
"326","326","article","Caregiving Anger and Frustration","Caregiver Wellness","wellwise"
"323","323","article","Assert Yourself and Ask for Help!","Caregiver Wellness","wellwise"
"282","282","article","Caregiver Guilt","Caregiver Wellness","wellwise"
"248","248","article","Temporary Relief for the Family Caregiver",NULL,"wellwise"
"297","297","article","Healthy Joints",NULL,"wellwise"
"308","308","article","Sensory Stimulation: Using the 5 Senses to Create Meaningful Moments","Activities & Recreation","wellwise"
"291","291","article","Energy Conservation","Caregiver Wellness","wellwise"
"322","322","article","Reframing Negative Thoughts","Caregiver Wellness","wellwise"
"290","290","video","Finding Strength through Difficult Changes","Caregiver Wellness","wellwise"
"252","252","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","wellwise"
"335","338","article","Brain Boost Exercises","Activities & Recreation","wellwise"
"196","196","article","Safety Tips When Caring",NULL,"wellwise"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","wisconsin"
"53","53","elearn","Moving & Transferring",NULL,"wisconsin"
"54","54","elearn","Moving Techniques",NULL,"wisconsin"
"72","72","elearn","Power of Attorney (US)",NULL,"wisconsin"
"95","95","video","Teepa Snow: PAC Skills Make the Difference","Dementia Expert","wisconsin"
"113","113","article","Denture Care Tips",NULL,"wisconsin"
"131","131","article","Skin Care for Older Adults","Personal Care","wisconsin"
"187","187","article","Shaving","Personal Care","wisconsin"
"192","192","article","Fall Prevention at Home",NULL,"wisconsin"
"195","195","article","Transitioning from Hospital to Home",NULL,"wisconsin"
"196","196","article","Safety Tips When Caring",NULL,"wisconsin"
"197","197","article","Care Chat: Driving & Dementia","Dementia Expert","wisconsin"
"211","211","article","Showering","Personal Care","wisconsin"
"214","214","article","Introduction to Aging and Dementia","Brain Health","wisconsin"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","wisconsin"
"237","237","article","Hospice and Palliative Care: What’s the difference?",NULL,"wisconsin"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","wisconsin"
"244","244","article","Dementia and Assisting with Dressing",NULL,"wisconsin"
"246","246","article","Eating and Appetite Concerns",NULL,"wisconsin"
"247","247","audio","Big Band Medley","Music Therapy","wisconsin"
"248","248","article","Temporary Relief for the Family Caregiver",NULL,"wisconsin"
"249","249","article","Asking the Right Questions",NULL,"wisconsin"
"251","251","article","Helping with Daily Tasks around the Home",NULL,"wisconsin"
"252","252","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","wisconsin"
"253","253","article","Oral Care for Older Adults","Personal Care","wisconsin"
"254","254","article","Managing Pain in Older Adults",NULL,"wisconsin"
"255","255","article","Aging and Nutrition",NULL,"wisconsin"
"256","256","article","Sleep and Dementia",NULL,"wisconsin"
"257","257","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","wisconsin"
"260","260","video","Challenging Situations in the Home","Dementia Expert","wisconsin"
"264","264","article","Financial Safety",NULL,"wisconsin"
"272","272","article","Managing Medications at Home","Personal Care","wisconsin"
"273","273","article","Reducing Medication Risks","Safety & Injury Prevention","wisconsin"
"282","282","article","Caregiver Guilt","Caregiver Wellness","wisconsin"
"283","283","video","Kitchen Safety with Mid-stage Dementia","Dementia Expert","wisconsin"
"284","284","article","Communication and Dementia","Brain Health","wisconsin"
"285","285","article","Sexuality and Dementia","Brain Health","wisconsin"
"286","286","audio","Alz Music - Vocal Standards","Music Therapy","wisconsin"
"287","287","audio","Alz Music - Country","Music Therapy","wisconsin"
"288","288","article","Elder Abuse","Safety & Injury Prevention","wisconsin"
"289","289","article","Preventing Colds, Flus, and Respiratory Infections",NULL,"wisconsin"
"290","290","video","Finding Strength through Difficult Changes","Caregiver Wellness","wisconsin"
"291","291","article","Energy Conservation","Caregiver Wellness","wisconsin"
"292","292","article","Reducing Social Isolation with Technology","Caregiver Wellness","wisconsin"
"293","293","article","Build Relationships with Reminiscence","Brain Health","wisconsin"
"294","294","article","The Art of Caregiving","Dementia Expert","wisconsin"
"295","295","article","Healthy Bones",NULL,"wisconsin"
"296","296","article","Mediterranean Diet for Brain Health",NULL,"wisconsin"
"297","297","article","Healthy Joints",NULL,"wisconsin"
"298","298","article","Consent: Dementia and Sexuality",NULL,"wisconsin"
"299","299","article","Bathroom Safety","Safety & Injury Prevention","wisconsin"
"300","300","article","Understanding Stroke","Stroke Recovery","wisconsin"
"301","301","article","Emotional Recovery","Stroke Recovery","wisconsin"
"302","302","article","Movement, Fatigue & Pain","Stroke Recovery","wisconsin"
"303","303","article","Secondary Prevention","Stroke Recovery","wisconsin"
"304","304","article","Perception","Stroke Recovery","wisconsin"
"305","305","article","Communication","Stroke Recovery","wisconsin"
"306","306","article","Cognition","Stroke Recovery","wisconsin"
"307","307","article","Eating and Swallowing","Stroke Recovery","wisconsin"
"308","308","article","Sensory Stimulation: Using the 5 Senses to Create Meaningful Moments","Activities & Recreation","wisconsin"
"956","309","article","Caregiver Resources in Wisconsin","Wisconsin Resources","wisconsin"
"310","310","article","Effective Self-Care","Caregiver Wellness","wisconsin"
"322","311","article","Reframing Negative Thoughts",NULL,"wisconsin"
"312","313","article","Hoarding and Hiding",NULL,"wisconsin"
"318","314","article","Hallucinations and Brain Changes","Brain Health","wisconsin"
"327","315","article","Outdoor Activities to Enjoy Together","Activities & Recreation","wisconsin"
"326","316","article","Caregiving Anger and Frustration","Caregiver Wellness","wisconsin"
"329","317","article","Trauma-Informed Care","Grandparents Supporting Grandchildren","wisconsin"
"330","319","article","Screen Time","Grandparents Supporting Grandchildren","wisconsin"
"331","320","article","Relax and Unwind Together","Activities & Recreation","wisconsin"
"332","321","article","Latest Research on Exercise and Brain Health",NULL,"wisconsin"
"333","322","article","Sibling Conflict and Caregiving Roles",NULL,"wisconsin"
"316","323","video","Keeping Hands and Minds Busy: Baskets and Other Rummaging Inspiration","Activities & Recreation","wisconsin"
"317","324","article","Living with a Purpose: Involving Your Loved One with Daily Tasks","Activities & Recreation","wisconsin"
"314","325","article","Surgery: Cognitive and Memory Changes",NULL,"wisconsin"
"334","326","video","Good Morning Stretches","Activities & Recreation","wisconsin"
"335","327","article","Brain Boost Exercises","Activities & Recreation","wisconsin"
"318","285","article","Hallucinations and Brain Changes","Brain Health","eaccares"
"214","214","article","Introduction to Aging and Dementia","Brain Health","kansas"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","kansas"
"284","284","article","Communication and Dementia","Brain Health","kansas"
"285","285","article","Sexuality and Dementia","Brain Health","kansas"
"293","293","article","Build Relationships with Reminiscence","Brain Health","kansas"
"318","318","article","Hallucinations and Brain Changes","Brain Health","kansas"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","kansas"
"257","257","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","kansas"
"288","288","article","Elder Abuse","Safety & Injury Prevention","kansas"
"273","273","article","Reducing Medication Risks","Safety & Injury Prevention","kansas"
"299","299","article","Bathroom Safety","Safety & Injury Prevention","kansas"
"320","320","article","Home Safety: Fall Hazards","Safety & Injury Prevention","kansas"
"252","252","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","kansas"
"335","335","article","Brain Boost Exercises","Activities & Recreation","kansas"
"297","297","article","Healthy Joints",NULL,"kansas"
"255","255","article","Aging and Nutrition",NULL,"kansas"
"95","95","video","Teepa Snow: PAC Skills Make the Difference","Dementia Expert","kansas"
"260","260","video","Challenging Situations in the Home","Dementia Expert","kansas"
"260","260","video","Challenging Situations in the Home","Dementia Expert","coaaa"
"95","95","video","Teepa Snow: PAC Skills Make the Difference","Dementia Expert","coaaa"
"284","284","article","Communication and Dementia","Brain Health","coaaa"
"322","322","article","Reframing Negative Thoughts","Caregiver Wellness","coaaa"
"282","282","article","Caregiver Guilt","Caregiver Wellness","coaaa"
"248","248","article","Temporary Relief for the Family Caregiver",NULL,"kansas"
"601","338","elearn","Central Ohio Private Homecare Guide","Central Ohio Resources","coaaa"
"287","287","audio","Alz Music - Country","Music Therapy","wellwise"
"247","247","audio","Big Band Medley","Music Therapy","wellwise"
"303","303","article","Secondary Prevention","Stroke Recovery","wellwise"
"709","301","article","Emotional Recovery","Stroke Recovery","wellwise"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","wellwise"
"300","300","article","Understanding Stroke","Stroke Recovery","wellwise"
"307","307","article","Eating and Swallowing","Stroke Recovery","wellwise"
"293","293","article","Build Relationships with Reminiscence","Brain Health","caac"
"288","288","article","Elder Abuse","Safety & Injury Prevention","wellwise"
"299","299","article","Bathroom Safety","Safety & Injury Prevention","wellwise"
"320","320","article","Home Safety: Fall Hazards","Safety & Injury Prevention","wellwise"
"306","306","article","Cognition","Stroke Recovery","wellwise"
"304","304","article","Perception","Stroke Recovery","wellwise"
"336","298","article","Balancing Work and Caregiving","Caregiver Wellness","eaccares"
"336","328","article","Balancing Work and Caregiving",NULL,"wisconsin"
"336","328","article","Balancing Work and Caregiving","Caregiver Wellness","wisconsin"
"336","335","article","Balancing Work and Caregiving",NULL,"sarpc"
"336","335","article","Balancing Work and Caregiving",NULL,"newyork"
"336","335","article","Balancing Work and Caregiving","Caregiver Wellness","newyork"
"336","327","article","Balancing Work and Caregiving",NULL,"smpdd"
"336","340","article","Balancing Work and Caregiving",NULL,"coaaa"
"336","345","article","Balancing Work and Caregiving",NULL,"caac"
"336","340","article","Balancing Work and Caregiving",NULL,"wellwise"
"305","305","article","Communication","Stroke Recovery","smpdd"
"72","72","elearn","Power of Attorney (US)",NULL,"caac"
"316","316","video","Keeping Hands and Minds Busy: Baskets and Other Rummaging Inspiration","Activities & Recreation","wellwise"
"317","317","article","Living with a Purpose: Involving Your Loved One with Daily Tasks","Activities & Recreation","wellwise"
"327","327","article","Outdoor Activities to Enjoy Together","Activities & Recreation","wellwise"
"54","54","elearn","Moving Techniques",NULL,"wellwise"
"283","283","video","Kitchen Safety with Mid-stage Dementia","Dementia Expert","wellwise"
"260","260","video","Challenging Situations in the Home","Dementia Expert","wellwise"
"329","329","article","Trauma-Informed Care","Grandparents Supporting Grandchildren","wellwise"
"330","330","article","Screen Time","Grandparents Supporting Grandchildren","wellwise"
"327","327","article","Outdoor Activities to Enjoy Together","Activities & Recreation","kansas"
"188","188","article","Choosing the Right Products when Assisting in the Bathroom","Personal Care","kansas"
"187","187","article","Shaving","Personal Care","newyork"
"253","253","article","Oral Care for Older Adults","Personal Care","newyork"
"272","272","article","Managing Medications at Home","Personal Care","newyork"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","newyork"
"273","273","article","Reducing Medication Risks","Safety & Injury Prevention","newyork"
"299","299","article","Bathroom Safety","Safety & Injury Prevention","newyork"
"320","319","article","Home Safety: Fall Hazards","Safety & Injury Prevention","newyork"
"252","252","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","newyork"
"322","321","article","Reframing Negative Thoughts","Caregiver Wellness","newyork"
