"portal_user_id","age_range","gender","tags"
"minnesota-252","46-60","female","[""Aggression"", ""Caring for Kids"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Emotions"", ""Future Planning"", ""Moving & Transfers"", ""Relationships"", ""Self-Care"", ""Work""]"
"sjgov-234","46-60","male","[""Activities"", ""Aging"", ""Anxiety"", ""Boredom"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Dressing"", ""Emotions"", ""Future Planning"", ""Heart Health"", ""Local Resources"", ""Mealtime"", ""Mental Changes"", ""Moving & Transfers"", ""Parkinson's"", ""Power of Attorney"", ""Prescriptions"", ""Relationships"", ""Self-Care"", ""Stroke"", ""UTIs"", ""Wandering"", ""Withdrawing""]"
"smpdd-227","36-45","female","[""Mental Changes"", ""Physical Changes""]"
"sjgov-243","60+","male","[""Anger"", ""Boredom"", ""Doctors"", ""Hallucinations"", ""Loneliness"", ""Toileting""]"
"demo-13","18-25","male","[""Driving""]"
"minnesota-261","36-45","female","[""Bathing"", ""Mealtime"", ""Physical Changes""]"
"ccsn-181","36-45","female","[""Mealtime"", ""Pain"", ""Physical Changes""]"
"demo-89","18-25","female","[""Caring for Kids"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Heart Health"", ""Kidney Disease"", ""Mealtime"", ""Physical Changes"", ""Stroke""]"
"minnesota-267","36-45","female","[""Future Planning""]"
"demo-44","26-35","female","[""Agitation"", ""Anxiety"", ""Bathing"", ""Driving"", ""Emotions"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Irritability"", ""Loneliness"", ""Relationships"", ""Self-Care"", ""UTIs"", ""Work""]"
"demo-50","18-25","male","[""Care Skills"", ""Caregiver Burnout"", ""Dementia & Alzheimer's"", ""Kidney Disease"", ""Lung Health""]"
"coaaa-242","60+","female","[""Care Skills"", ""Dementia & Alzheimer's"", ""Driving"", ""Local Resources"", ""Mobility"", ""Physical Changes"", ""Relationships"", ""Stroke"", ""Withdrawing""]"
"aacog-247","60+","female","[""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Dementia & Alzheimer's"", ""Medications"", ""Mental Illness"", ""Pain"", ""Resisting Care"", ""Stroke""]"
"sjgov-250","60+","female","[""Anxiety"", ""Hallucinations"", ""Repetition"", ""Skin"", ""UTIs""]"
"minnesota-285","46-60","female","[""Emotions"", ""Irritability"", ""Resisting Care"", ""Work""]"
"aacog-251","46-60","female","[""Hospice"", ""Prescriptions"", ""Skin""]"
"minnesota-292","60+","female","[""Physical Changes""]"
"seniorresources-246","46-60","female","[""Future Planning"", ""Self-Care""]"
"coaaa-253","NA","NA","[""Moving & Transfers"", ""Physical Changes""]"
"demo-115","26-35","female","[""Abuse"", ""Activities"", ""Aggression"", ""Bedsores"", ""Caregiver Burnout"", ""Emotions"", ""Future Planning"", ""Heart Health""]"
"hoco-290","46-60","female","[""Abuse"", ""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Raising Grandchildren"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"demo-104","18-25","female","[""Care Skills"", ""Dementia & Alzheimer's"", ""Doctors""]"
"demo-111","18-25","female","[""Emotions"", ""Physical Changes"", ""Relationships"", ""Self-Care"", ""Work""]"
"sjgov-257","60+","NA","[""Activities"", ""Agitation"", ""Boredom"", ""Care Skills"", ""Caregiver Burnout"", ""Caring for Kids"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Emotions"", ""Fraud & Scams"", ""Future Planning"", ""Hoarding"", ""Local Resources"", ""Mealtime"", ""Moving & Transfers"", ""Physical Changes"", ""Power of Attorney"", ""Relationships"", ""Self-Care"", ""Work""]"
"demo-110","26-35","female","[""Activities"", ""Mealtime"", ""Physical Changes"", ""Raising Grandchildren"", ""Work""]"
"wellwise-272","60+","NA","[""Anxiety"", ""Caregiver Burnout"", ""Diabetes"", ""Loneliness"", ""Mealtime"", ""Physical Changes"", ""Withdrawing""]"
"northcarolina-449","60+","NA","[""Boredom"", ""Dementia & Alzheimer's"", ""End of Life Care"", ""Future Planning"", ""Hospice"", ""Local Resources"", ""Mealtime"", ""Mental Changes"", ""Mobility"", ""Physical Changes"", ""Self-Care""]"
"cmpdd-246","46-60","NA","[""Aging"", ""Diabetes"", ""Heart Health"", ""Mealtime"", ""Physical Changes"", ""Stroke""]"
"beas-237","46-60","female","[""Activities"", ""Agitation"", ""Mealtime"", ""Physical Changes"", ""Prescriptions""]"
"aacog-263","18-25","male","[""Abuse"", ""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Lung Health"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mental Illness"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Raising Grandchildren"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"aacog-264","60+","NA","[""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Dementia & Alzheimer's"", ""Diabetes"", ""Driving"", ""Emotions"", ""Falls"", ""Future Planning"", ""Local Resources"", ""Lung Health"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Physical Changes"", ""Power of Attorney"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Stroke"", ""Wandering"", ""Withdrawing""]"
"sjgov-261","46-60","male","[""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Care Skills"", ""Caregiver Burnout"", ""Doctors"", ""Emotions"", ""Falls"", ""Future Planning"", ""Hoarding"", ""Irritability"", ""Local Resources"", ""Lung Health"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mental Illness"", ""Mobility"", ""Moving & Transfers"", ""Pain"", ""Physical Changes"", ""Prescriptions"", ""Relationships"", ""Self-Care"", ""Skin"", ""Stroke"", ""UTIs""]"
"washington-275","36-45","female","[""Aggression"", ""Anxiety"", ""Bathing"", ""Dementia & Alzheimer's"", ""Dressing"", ""Driving"", ""Falls"", ""Hallucinations"", ""Irritability"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Oral Care"", ""Parkinson's"", ""Physical Changes"", ""Prescriptions"", ""Resisting Care"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering""]"
"minnesota-322","46-60","female","[""Bathing"", ""Mealtime"", ""Physical Changes""]"
"wisconsin-339","46-60","female","[""Anger"", ""Dementia & Alzheimer's"", ""Mealtime"", ""Mental Illness"", ""Physical Changes""]"
"wisconsin-704","46-60","male","[""Care Skills"", ""Caregiver Burnout"", ""Mealtime"", ""Physical Changes""]"
"wisconsin-715","46-60","NA","[""Anxiety"", ""Caregiver Burnout"", ""Developmental Disabilities"", ""Future Planning"", ""Mealtime"", ""Self-Care"", ""Work""]"
"northcarolina-485","60+","female","[""Aging"", ""Bathing"", ""Dementia & Alzheimer's"", ""Falls"", ""Future Planning"", ""Irritability"", ""Local Resources"", ""Self-Care"", ""Toileting"", ""UTIs""]"
"wisconsin-729","46-60","female","[""Bathing"", ""Mealtime"", ""Physical Changes""]"
"coaaa-266","60+","NA","[""Bathing"", ""Dementia & Alzheimer's"", ""Falls"", ""Future Planning"", ""Mealtime"", ""Physical Changes"", ""Resisting Care"", ""Withdrawing"", ""Work""]"
"kern-256","60+","female","[""Mealtime"", ""Physical Changes"", ""Prescriptions""]"
"washington-297","60+","female","[""Abuse"", ""Anxiety"", ""Bedsores"", ""Care Skills"", ""Caregiver Burnout"", ""Dementia & Alzheimer's"", ""Doctors"", ""Emotions"", ""End of Life Care"", ""Future Planning"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Lung Health"", ""Mealtime"", ""Pain"", ""Physical Changes"", ""Relationships"", ""Self-Care"", ""Skin"", ""UTIs"", ""Work""]"
"wisconsin-728","46-60","female","[""Activities"", ""Mealtime"", ""Physical Changes""]"
"coaaa-269","18-25","female","[""Future Planning"", ""Mental Changes""]"
"wisconsin-749","46-60","Female","[""Aging"", ""Dementia & Alzheimer's"", ""Mealtime"", ""Physical Changes""]"
"wellwise-276","46-60","female","[""Mealtime"", ""Physical Changes"", ""Raising Grandchildren""]"
"dayton-407","46-60","Female","[""Diabetes"", ""Loneliness"", ""Mealtime"", ""Mobility"", ""Physical Changes""]"
"washington-309","46-60","female","[""Mealtime"", ""Physical Changes""]"
"nekcoa-258","46-60","female","[""Future Planning"", ""Loneliness"", ""Mealtime"", ""Physical Changes"", ""Prescriptions"", ""Self-Care"", ""UTIs""]"
"sjgov-265","46-60","female","[""Anxiety"", ""Mealtime"", ""Physical Changes"", ""Resisting Care""]"
"northcarolina-534","60+","female","[""Mealtime"", ""Moving & Transfers"", ""Physical Changes""]"
"esmv-270","46-60","Female","[""Anxiety"", ""Mealtime"", ""Physical Changes"", ""Resisting Care""]"
"tcoa-257","36-45","female","[""Falls"", ""Mealtime"", ""Physical Changes""]"
"dayton-418","36-45","Female","[""Abuse"", ""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Caring for Kids"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Lung Health"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mental Illness"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"northcarolina-544","36-45","female","[""Dementia & Alzheimer's"", ""Mealtime"", ""Physical Changes""]"
"uf-113","46-60","female","[""Aging"", ""Dementia & Alzheimer's"", ""Emotions"", ""Falls"", ""Loneliness"", ""Mental Changes"", ""Oral Care"", ""Physical Changes"", ""Repetition"", ""Self-Care"", ""Stroke"", ""Toileting"", ""UTIs"", ""Withdrawing""]"
"tcoa-264","36-45","female","[""Anger"", ""Mealtime"", ""Physical Changes""]"
"wisconsin-764","60+","Female","[""Bedsores"", ""Emotions"", ""Falls"", ""Future Planning"", ""Hallucinations"", ""Parkinson's"", ""Self-Care""]"
"dayton-423","36-45","Female","[""Anger"", ""Anxiety"", ""Dementia & Alzheimer's"", ""Falls"", ""Mealtime"", ""Mobility"", ""Parkinson's"", ""Physical Changes"", ""Repetition"", ""Withdrawing""]"
"minnesota-339","60+","female","[""Activities"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Dementia & Alzheimer's"", ""Dressing"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hospice"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Raising Grandchildren"", ""Relationships"", ""Resisting Care"", ""Self-Care"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"tcoa-274","46-60","female","[""Dementia & Alzheimer's"", ""Mealtime"", ""Physical Changes""]"
"wisconsin-770","36-45","Female","[""Abuse"", ""Activities"", ""Aggression"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Hallucinations"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Physical Changes"", ""Prescriptions"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"smpdd-232","60+","Female","[""Bathing"", ""Mealtime"", ""Physical Changes""]"
"washington-328","46-60","female","[""Irritability"", ""Mealtime"", ""Physical Changes""]"
"tcoa-283","60+","Female","[""Activities"", ""Aging"", ""Agitation"", ""Anxiety"", ""Dementia & Alzheimer's"", ""Local Resources"", ""Mental Changes"", ""Physical Changes"", ""Self-Care""]"
"uf-114","46-60","female","[""Abuse"", ""Aggression"", ""Aging"", ""Agitation"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Dressing"", ""Emotions"", ""Falls"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hospice"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Mental Changes"", ""Mobility"", ""Oral Care"", ""Physical Changes"", ""Power of Attorney"", ""Relationships"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""UTIs"", ""Work""]"
"demo-182","26-35","male","[""Agitation"", ""Hoarding"", ""Mealtime"", ""Mobility"", ""Moving & Transfers"", ""Physical Changes"", ""Repetition"", ""Skin"", ""Toileting""]"
"phoenix-299","46-60","female","[""Activities"", ""Agitation"", ""Bathing"", ""Care Skills"", ""Caregiver Burnout"", ""Dementia & Alzheimer's"", ""Doctors"", ""Dressing"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hospice"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Physical Changes"", ""Power of Attorney"", ""Raising Grandchildren"", ""Resisting Care"", ""Skin"", ""Toileting"", ""UTIs"", ""Withdrawing"", ""Work""]"
"wisconsin-778","46-60","female","[""Abuse"", ""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Raising Grandchildren"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"wisconsin-780","46-60","Female","[""Dementia & Alzheimer's"", ""Mealtime"", ""Physical Changes""]"
"wisconsin-782","36-45","female","[""Caring for Kids"", ""Mealtime"", ""Physical Changes""]"
"aacog-287","60+","female","[""Care Skills"", ""Caregiver Burnout""]"
"pgcsc-261","46-60","Male","[""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Falls"", ""Future Planning"", ""Hallucinations"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Oral Care"", ""Pain"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Raising Grandchildren"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing""]"
"seniorresources-267","46-60","female","[""Anxiety"", ""Hallucinations"", ""Mealtime"", ""Physical Changes"", ""Wandering""]"
"minnesota-343","36-45","female","[""Aging"", ""Mealtime"", ""Moving & Transfers"", ""Physical Changes""]"
